CellLineName,SegmentID,event_type
NCIH460,seg1,Gain
HT115,seg2,Gain
NCIH1792,seg3,Gain
SNU719,seg4,Gain
NCIH226,seg5,Gain
A101D,seg6,Amplification
U2OS,seg7,Amplification
COLO678,seg8,Gain
HCC15,seg9,Gain
IPC298,seg10,Amplification
DU145,seg11,Gain
TCCSUP,seg12,Gain
OV90,seg13,Gain
IGR1,seg14,Amplification
MDAMB231,seg15,Gain
SKCO1,seg16,Gain
LS411N,seg17,Gain
MDAMB436,seg18,Gain
NCIH2052,seg19,Amplification
LS180,seg20,Gain
WM88,seg21,Amplification
C32,seg22,Amplification
TE4,seg23,Amplification
LCLC103H,seg24,Gain
NCIH520,seg25,Gain
SUIT2,seg26,Gain
LS513,seg27,Gain
JHH6,seg28,Amplification
